Brewer	Colour	Number	Type	Critical	Colour	Colour	R	G	B
634	PiYG	7	Diverging	4	1	B	197	27	125
635	PiYG	7	Diverging	4	2	E	233	163	201
636	PiYG	7	Diverging	4	3	G	253	224	239
637	PiYG	7	Diverging	4	4	H	247	247	247
638	PiYG	7	Diverging	4	5	I	230	245	208
639	PiYG	7	Diverging	4	6	K	161	215	106
640	PiYG	7	Diverging	4	7	N	77	146	33
641	PiYG	8	Diverging	4.5	1	B	197	27	125
642	PiYG	8	Diverging	4.5	2	D	222	119	174
643	PiYG	8	Diverging	4.5	3	F	241	182	218
644	PiYG	8	Diverging	4.5	4	G	253	224	239
645	PiYG	8	Diverging	4.5	5	I	230	245	208
646	PiYG	8	Diverging	4.5	6	J	184	225	134
647	PiYG	8	Diverging	4.5	7	L	127	188	65
648	PiYG	8	Diverging	4.5	8	N	77	146	33
649	PiYG	9	Diverging	5	1	B	197	27	125
650	PiYG	9	Diverging	5	2	D	222	119	174
651	PiYG	9	Diverging	5	3	F	241	182	218
652	PiYG	9	Diverging	5	4	G	253	224	239
653	PiYG	9	Diverging	5	5	H	247	247	247
654	PiYG	9	Diverging	5	6	I	230	245	208
655	PiYG	9	Diverging	5	7	J	184	225	134
656	PiYG	9	Diverging	5	8	L	127	188	65
657	PiYG	9	Diverging	5	9	N	77	146	33
658	PiYG	10	Diverging	5.5	1	A	142	1	82
659	PiYG	10	Diverging	5.5	2	B	197	27	125
660	PiYG	10	Diverging	5.5	3	D	222	119	174
661	PiYG	10	Diverging	5.5	4	F	241	182	218
662	PiYG	10	Diverging	5.5	5	G	253	224	239
663	PiYG	10	Diverging	5.5	6	I	230	245	208
664	PiYG	10	Diverging	5.5	7	J	184	225	134
665	PiYG	10	Diverging	5.5	8	L	127	188	65
666	PiYG	10	Diverging	5.5	9	N	77	146	33
667	PiYG	10	Diverging	5.5	10	O	39	100	25
668	PiYG	11	Diverging	6	1	A	142	1	82
669	PiYG	11	Diverging	6	2	B	197	27	125
670	PiYG	11	Diverging	6	3	D	222	119	174
671	PiYG	11	Diverging	6	4	F	241	182	218
672	PiYG	11	Diverging	6	5	G	253	224	239
673	PiYG	11	Diverging	6	6	H	247	247	247
674	PiYG	11	Diverging	6	7	I	230	245	208
675	PiYG	11	Diverging	6	8	J	184	225	134
676	PiYG	11	Diverging	6	9	L	127	188	65
677	PiYG	11	Diverging	6	10	N	77	146	33
678	PiYG	11	Diverging	6	11	O	39	100	25
679	PRGn	3	Diverging	2	1	E	175	141	195
680	PRGn	3	Diverging	2	2	H	247	247	247
681	PRGn	3	Diverging	2	3	K	127	191	123
682	PRGn	4	Diverging	2.5	1	C	123	50	148
683	PRGn	4	Diverging	2.5	2	F	194	165	207
684	PRGn	4	Diverging	2.5	3	J	166	219	160
685	PRGn	4	Diverging	2.5	4	M	0	136	55
686	PRGn	5	Diverging	3	1	C	123	50	148
687	PRGn	5	Diverging	3	2	F	194	165	207
688	PRGn	5	Diverging	3	3	H	247	247	247
689	PRGn	5	Diverging	3	4	J	166	219	160
690	PRGn	5	Diverging	3	5	M	0	136	55
691	PRGn	6	Diverging	3.5	1	B	118	42	131
692	PRGn	6	Diverging	3.5	2	E	175	141	195
693	PRGn	6	Diverging	3.5	3	G	231	212	232
694	PRGn	6	Diverging	3.5	4	I	217	240	211
695	PRGn	6	Diverging	3.5	5	K	127	191	123
696	PRGn	6	Diverging	3.5	6	N	27	120	55
697	PRGn	7	Diverging	4	1	B	118	42	131
698	PRGn	7	Diverging	4	2	E	175	141	195
699	PRGn	7	Diverging	4	3	G	231	212	232
700	PRGn	7	Diverging	4	4	H	247	247	247
701	PRGn	7	Diverging	4	5	I	217	240	211
702	PRGn	7	Diverging	4	6	K	127	191	123
703	PRGn	7	Diverging	4	7	N	27	120	55
704	PRGn	8	Diverging	4.5	1	B	118	42	131
705	PRGn	8	Diverging	4.5	2	D	153	112	171
706	PRGn	8	Diverging	4.5	3	F	194	165	207
707	PRGn	8	Diverging	4.5	4	G	231	212	232
708	PRGn	8	Diverging	4.5	5	I	217	240	211
709	PRGn	8	Diverging	4.5	6	J	166	219	160
710	PRGn	8	Diverging	4.5	7	L	90	174	97
711	PRGn	8	Diverging	4.5	8	N	27	120	55
712	PRGn	9	Diverging	5	1	B	118	42	131
713	PRGn	9	Diverging	5	2	D	153	112	171
714	PRGn	9	Diverging	5	3	F	194	165	207
715	PRGn	9	Diverging	5	4	G	231	212	232
716	PRGn	9	Diverging	5	5	H	247	247	247
717	PRGn	9	Diverging	5	6	I	217	240	211
718	PRGn	9	Diverging	5	7	J	166	219	160
719	PRGn	9	Diverging	5	8	L	90	174	97
720	PRGn	9	Diverging	5	9	N	27	120	55
721	PRGn	10	Diverging	5.5	1	A	64	0	75
722	PRGn	10	Diverging	5.5	2	B	118	42	131
723	PRGn	10	Diverging	5.5	3	D	153	112	171
724	PRGn	10	Diverging	5.5	4	F	194	165	207
725	PRGn	10	Diverging	5.5	5	G	231	212	232
726	PRGn	10	Diverging	5.5	6	I	217	240	211
727	PRGn	10	Diverging	5.5	7	J	166	219	160
728	PRGn	10	Diverging	5.5	8	L	90	174	97
729	PRGn	10	Diverging	5.5	9	N	27	120	55
730	PRGn	10	Diverging	5.5	10	O	0	68	27
731	PRGn	11	Diverging	6	1	A	64	0	75
732	PRGn	11	Diverging	6	2	B	118	42	131
733	PRGn	11	Diverging	6	3	D	153	112	171
734	PRGn	11	Diverging	6	4	F	194	165	207
735	PRGn	11	Diverging	6	5	G	231	212	232
736	PRGn	11	Diverging	6	6	H	247	247	247
737	PRGn	11	Diverging	6	7	I	217	240	211
738	PRGn	11	Diverging	6	8	J	166	219	160
739	PRGn	11	Diverging	6	9	L	90	174	97
740	PRGn	11	Diverging	6	10	N	27	120	55
741	PRGn	11	Diverging	6	11	O	0	68	27
826	PuOr	3	Diverging	2	1	E	241	163	64
827	PuOr	3	Diverging	2	2	H	247	247	247
828	PuOr	3	Diverging	2	3	K	153	142	195
829	PuOr	4	Diverging	2.5	1	C	230	97	1
830	PuOr	4	Diverging	2.5	2	F	253	184	99
831	PuOr	4	Diverging	2.5	3	J	178	171	210
832	PuOr	4	Diverging	2.5	4	M	94	60	153
833	PuOr	5	Diverging	3	1	C	230	97	1
834	PuOr	5	Diverging	3	2	F	253	184	99
835	PuOr	5	Diverging	3	3	H	247	247	247
836	PuOr	5	Diverging	3	4	J	178	171	210
837	PuOr	5	Diverging	3	5	M	94	60	153
838	PuOr	6	Diverging	3.5	1	B	179	88	6
839	PuOr	6	Diverging	3.5	2	E	241	163	64
840	PuOr	6	Diverging	3.5	3	G	254	224	182
841	PuOr	6	Diverging	3.5	4	I	216	218	235
842	PuOr	6	Diverging	3.5	5	K	153	142	195
843	PuOr	6	Diverging	3.5	6	N	84	39	136
844	PuOr	7	Diverging	4	1	B	179	88	6
845	PuOr	7	Diverging	4	2	E	241	163	64
846	PuOr	7	Diverging	4	3	G	254	224	182
847	PuOr	7	Diverging	4	4	H	247	247	247
848	PuOr	7	Diverging	4	5	I	216	218	235
849	PuOr	7	Diverging	4	6	K	153	142	195
850	PuOr	7	Diverging	4	7	N	84	39	136
851	PuOr	8	Diverging	4.5	1	B	179	88	6
852	PuOr	8	Diverging	4.5	2	D	224	130	20
853	PuOr	8	Diverging	4.5	3	F	253	184	99
854	PuOr	8	Diverging	4.5	4	G	254	224	182
855	PuOr	8	Diverging	4.5	5	I	216	218	235
856	PuOr	8	Diverging	4.5	6	J	178	171	210
857	PuOr	8	Diverging	4.5	7	L	128	115	172
858	PuOr	8	Diverging	4.5	8	N	84	39	136
859	PuOr	9	Diverging	5	1	B	179	88	6
860	PuOr	9	Diverging	5	2	D	224	130	20
861	PuOr	9	Diverging	5	3	F	253	184	99
862	PuOr	9	Diverging	5	4	G	254	224	182
863	PuOr	9	Diverging	5	5	H	247	247	247
864	PuOr	9	Diverging	5	6	I	216	218	235
865	PuOr	9	Diverging	5	7	J	178	171	210
866	PuOr	9	Diverging	5	8	L	128	115	172
867	PuOr	9	Diverging	5	9	N	84	39	136
868	PuOr	10	Diverging	5.5	1	A	127	59	8
869	PuOr	10	Diverging	5.5	2	B	179	88	6
870	PuOr	10	Diverging	5.5	3	D	224	130	20
871	PuOr	10	Diverging	5.5	4	F	253	184	99
872	PuOr	10	Diverging	5.5	5	G	254	224	182
873	PuOr	10	Diverging	5.5	6	I	216	218	235
874	PuOr	10	Diverging	5.5	7	J	178	171	210
875	PuOr	10	Diverging	5.5	8	L	128	115	172
876	PuOr	10	Diverging	5.5	9	N	84	39	136
877	PuOr	10	Diverging	5.5	10	O	45	0	75
878	PuOr	11	Diverging	6	1	A	127	59	8
879	PuOr	11	Diverging	6	2	B	179	88	6
880	PuOr	11	Diverging	6	3	D	224	130	20
881	PuOr	11	Diverging	6	4	F	253	184	99
882	PuOr	11	Diverging	6	5	G	254	224	182
883	PuOr	11	Diverging	6	6	H	247	247	247
884	PuOr	11	Diverging	6	7	I	216	218	235
885	PuOr	11	Diverging	6	8	J	178	171	210
886	PuOr	11	Diverging	6	9	L	128	115	172
887	PuOr	11	Diverging	6	10	N	84	39	136
888	PuOr	11	Diverging	6	11	O	45	0	75
973	RdBu	3	Diverging	2	1	E	239	138	98
974	RdBu	3	Diverging	2	2	H	247	247	247
975	RdBu	3	Diverging	2	3	K	103	169	207
976	RdBu	4	Diverging	2.5	1	C	202	0	32
977	RdBu	4	Diverging	2.5	2	F	244	165	130
978	RdBu	4	Diverging	2.5	3	J	146	197	222
979	RdBu	4	Diverging	2.5	4	M	5	113	176
980	RdBu	5	Diverging	3	1	C	202	0	32
981	RdBu	5	Diverging	3	2	F	244	165	130
982	RdBu	5	Diverging	3	3	H	247	247	247
983	RdBu	5	Diverging	3	4	J	146	197	222
984	RdBu	5	Diverging	3	5	M	5	113	176
985	RdBu	6	Diverging	3.5	1	B	178	24	43
986	RdBu	6	Diverging	3.5	2	E	239	138	98
987	RdBu	6	Diverging	3.5	3	G	253	219	199
988	RdBu	6	Diverging	3.5	4	I	209	229	240
989	RdBu	6	Diverging	3.5	5	K	103	169	207
990	RdBu	6	Diverging	3.5	6	N	33	102	172
991	RdBu	7	Diverging	4	1	B	178	24	43
992	RdBu	7	Diverging	4	2	E	239	138	98
993	RdBu	7	Diverging	4	3	G	253	219	199
994	RdBu	7	Diverging	4	4	H	247	247	247
995	RdBu	7	Diverging	4	5	I	209	229	240
996	RdBu	7	Diverging	4	6	K	103	169	207
997	RdBu	7	Diverging	4	7	N	33	102	172
998	RdBu	8	Diverging	4.5	1	B	178	24	43
999	RdBu	8	Diverging	4.5	2	D	214	96	77
1000	RdBu	8	Diverging	4.5	3	F	244	165	130
1001	RdBu	8	Diverging	4.5	4	G	253	219	199
1002	RdBu	8	Diverging	4.5	5	I	209	229	240
1003	RdBu	8	Diverging	4.5	6	J	146	197	222
1004	RdBu	8	Diverging	4.5	7	L	67	147	195
1005	RdBu	8	Diverging	4.5	8	N	33	102	172
1006	RdBu	9	Diverging	5	1	B	178	24	43
1007	RdBu	9	Diverging	5	2	D	214	96	77
1008	RdBu	9	Diverging	5	3	F	244	165	130
1009	RdBu	9	Diverging	5	4	G	253	219	199
1010	RdBu	9	Diverging	5	5	H	247	247	247
1011	RdBu	9	Diverging	5	6	I	209	229	240
1012	RdBu	9	Diverging	5	7	J	146	197	222
1013	RdBu	9	Diverging	5	8	L	67	147	195
1014	RdBu	9	Diverging	5	9	N	33	102	172
1015	RdBu	10	Diverging	5.5	1	A	103	0	31
1016	RdBu	10	Diverging	5.5	2	B	178	24	43
1017	RdBu	10	Diverging	5.5	3	D	214	96	77
1018	RdBu	10	Diverging	5.5	4	F	244	165	130
1019	RdBu	10	Diverging	5.5	5	G	253	219	199
1020	RdBu	10	Diverging	5.5	6	I	209	229	240
1021	RdBu	10	Diverging	5.5	7	J	146	197	222
1022	RdBu	10	Diverging	5.5	8	L	67	147	195
1023	RdBu	10	Diverging	5.5	9	N	33	102	172
1024	RdBu	10	Diverging	5.5	10	O	5	48	97
1025	RdBu	11	Diverging	6	1	A	103	0	31
1026	RdBu	11	Diverging	6	2	B	178	24	43
1027	RdBu	11	Diverging	6	3	D	214	96	77
1028	RdBu	11	Diverging	6	4	F	244	165	130
1029	RdBu	11	Diverging	6	5	G	253	219	199
1030	RdBu	11	Diverging	6	6	H	247	247	247
1031	RdBu	11	Diverging	6	7	I	209	229	240
1032	RdBu	11	Diverging	6	8	J	146	197	222
1033	RdBu	11	Diverging	6	9	L	67	147	195
1034	RdBu	11	Diverging	6	10	N	33	102	172
1035	RdBu	11	Diverging	6	11	O	5	48	97
1036	RdGy	3	Diverging	2	1	E	239	138	98
1037	RdGy	3	Diverging	2	2	H	255	255	255
1038	RdGy	3	Diverging	2	3	K	153	153	153
1039	RdGy	4	Diverging	2.5	1	C	202	0	32
1040	RdGy	4	Diverging	2.5	2	F	244	165	130
1041	RdGy	4	Diverging	2.5	3	J	186	186	186
1042	RdGy	4	Diverging	2.5	4	M	64	64	64
1043	RdGy	5	Diverging	3	1	C	202	0	32
1044	RdGy	5	Diverging	3	2	F	244	165	130
1045	RdGy	5	Diverging	3	3	H	255	255	255
1046	RdGy	5	Diverging	3	4	J	186	186	186
1047	RdGy	5	Diverging	3	5	M	64	64	64
1048	RdGy	6	Diverging	3.5	1	B	178	24	43
1049	RdGy	6	Diverging	3.5	2	E	239	138	98
1050	RdGy	6	Diverging	3.5	3	G	253	219	199
1051	RdGy	6	Diverging	3.5	4	I	224	224	224
1052	RdGy	6	Diverging	3.5	5	K	153	153	153
1053	RdGy	6	Diverging	3.5	6	N	77	77	77
1054	RdGy	7	Diverging	4	1	B	178	24	43
1055	RdGy	7	Diverging	4	2	E	239	138	98
1056	RdGy	7	Diverging	4	3	G	253	219	199
1057	RdGy	7	Diverging	4	4	H	255	255	255
1058	RdGy	7	Diverging	4	5	I	224	224	224
1059	RdGy	7	Diverging	4	6	K	153	153	153
1060	RdGy	7	Diverging	4	7	N	77	77	77
1061	RdGy	8	Diverging	4.5	1	B	178	24	43
1062	RdGy	8	Diverging	4.5	2	D	214	96	77
1063	RdGy	8	Diverging	4.5	3	F	244	165	130
1064	RdGy	8	Diverging	4.5	4	G	253	219	199
1065	RdGy	8	Diverging	4.5	5	I	224	224	224
1066	RdGy	8	Diverging	4.5	6	J	186	186	186
1067	RdGy	8	Diverging	4.5	7	L	135	135	135
1068	RdGy	8	Diverging	4.5	8	N	77	77	77
1069	RdGy	9	Diverging	5	1	B	178	24	43
1070	RdGy	9	Diverging	5	2	D	214	96	77
1071	RdGy	9	Diverging	5	3	F	244	165	130
1072	RdGy	9	Diverging	5	4	G	253	219	199
1073	RdGy	9	Diverging	5	5	H	255	255	255
1074	RdGy	9	Diverging	5	6	I	224	224	224
1075	RdGy	9	Diverging	5	7	J	186	186	186
1076	RdGy	9	Diverging	5	8	L	135	135	135
1077	RdGy	9	Diverging	5	9	N	77	77	77
1078	RdGy	10	Diverging	5.5	1	A	103	0	31
1079	RdGy	10	Diverging	5.5	2	B	178	24	43
1080	RdGy	10	Diverging	5.5	3	D	214	96	77
1081	RdGy	10	Diverging	5.5	4	F	244	165	130
1082	RdGy	10	Diverging	5.5	5	G	253	219	199
1083	RdGy	10	Diverging	5.5	6	I	224	224	224
1084	RdGy	10	Diverging	5.5	7	J	186	186	186
1085	RdGy	10	Diverging	5.5	8	L	135	135	135
1086	RdGy	10	Diverging	5.5	9	N	77	77	77
1087	RdGy	10	Diverging	5.5	10	O	26	26	26
1088	RdGy	11	Diverging	6	1	A	103	0	31
1089	RdGy	11	Diverging	6	2	B	178	24	43
1090	RdGy	11	Diverging	6	3	D	214	96	77
1091	RdGy	11	Diverging	6	4	F	244	165	130
1092	RdGy	11	Diverging	6	5	G	253	219	199
1093	RdGy	11	Diverging	6	6	H	255	255	255
1094	RdGy	11	Diverging	6	7	I	224	224	224
1095	RdGy	11	Diverging	6	8	J	186	186	186
1096	RdGy	11	Diverging	6	9	L	135	135	135
1097	RdGy	11	Diverging	6	10	N	77	77	77
1098	RdGy	11	Diverging	6	11	O	26	26	26
1183	RdYlBu	3	Diverging	2	1	E	252	141	89
1184	RdYlBu	3	Diverging	2	2	H	255	255	191
1185	RdYlBu	3	Diverging	2	3	K	145	191	219
1186	RdYlBu	4	Diverging	2.5	1	C	215	25	28
1187	RdYlBu	4	Diverging	2.5	2	F	253	174	97
1188	RdYlBu	4	Diverging	2.5	3	J	171	217	233
1189	RdYlBu	4	Diverging	2.5	4	M	44	123	182
1190	RdYlBu	5	Diverging	3	1	C	215	25	28
1191	RdYlBu	5	Diverging	3	2	F	253	174	97
1192	RdYlBu	5	Diverging	3	3	H	255	255	191
1193	RdYlBu	5	Diverging	3	4	J	171	217	233
1194	RdYlBu	5	Diverging	3	5	M	44	123	182
1195	RdYlBu	6	Diverging	3.5	1	B	215	48	39
1196	RdYlBu	6	Diverging	3.5	2	E	252	141	89
1197	RdYlBu	6	Diverging	3.5	3	G	254	224	144
1198	RdYlBu	6	Diverging	3.5	4	I	224	243	248
1199	RdYlBu	6	Diverging	3.5	5	K	145	191	219
1200	RdYlBu	6	Diverging	3.5	6	N	69	117	180
1201	RdYlBu	7	Diverging	4	1	B	215	48	39
1202	RdYlBu	7	Diverging	4	2	E	252	141	89
1203	RdYlBu	7	Diverging	4	3	G	254	224	144
1204	RdYlBu	7	Diverging	4	4	H	255	255	191
1205	RdYlBu	7	Diverging	4	5	I	224	243	248
1206	RdYlBu	7	Diverging	4	6	K	145	191	219
1207	RdYlBu	7	Diverging	4	7	N	69	117	180
1208	RdYlBu	8	Diverging	4.5	1	B	215	48	39
1209	RdYlBu	8	Diverging	4.5	2	D	244	109	67
1210	RdYlBu	8	Diverging	4.5	3	F	253	174	97
1211	RdYlBu	8	Diverging	4.5	4	G	254	224	144
1212	RdYlBu	8	Diverging	4.5	5	I	224	243	248
1213	RdYlBu	8	Diverging	4.5	6	J	171	217	233
1214	RdYlBu	8	Diverging	4.5	7	L	116	173	209
1215	RdYlBu	8	Diverging	4.5	8	N	69	117	180
1216	RdYlBu	9	Diverging	5	1	B	215	48	39
1217	RdYlBu	9	Diverging	5	2	D	244	109	67
1218	RdYlBu	9	Diverging	5	3	F	253	174	97
1219	RdYlBu	9	Diverging	5	4	G	254	224	144
1220	RdYlBu	9	Diverging	5	5	H	255	255	191
1221	RdYlBu	9	Diverging	5	6	I	224	243	248
1222	RdYlBu	9	Diverging	5	7	J	171	217	233
1223	RdYlBu	9	Diverging	5	8	L	116	173	209
1224	RdYlBu	9	Diverging	5	9	N	69	117	180
1225	RdYlBu	10	Diverging	5.5	1	A	165	0	38
1226	RdYlBu	10	Diverging	5.5	2	B	215	48	39
1227	RdYlBu	10	Diverging	5.5	3	D	244	109	67
1228	RdYlBu	10	Diverging	5.5	4	F	253	174	97
1229	RdYlBu	10	Diverging	5.5	5	G	254	224	144
1230	RdYlBu	10	Diverging	5.5	6	I	224	243	248
1231	RdYlBu	10	Diverging	5.5	7	J	171	217	233
1232	RdYlBu	10	Diverging	5.5	8	L	116	173	209
1233	RdYlBu	10	Diverging	5.5	9	N	69	117	180
1234	RdYlBu	10	Diverging	5.5	10	O	49	54	149
1235	RdYlBu	11	Diverging	6	1	A	165	0	38
1236	RdYlBu	11	Diverging	6	2	B	215	48	39
1237	RdYlBu	11	Diverging	6	3	D	244	109	67
1238	RdYlBu	11	Diverging	6	4	F	253	174	97
1239	RdYlBu	11	Diverging	6	5	G	254	224	144
1240	RdYlBu	11	Diverging	6	6	H	255	255	191
1241	RdYlBu	11	Diverging	6	7	I	224	243	248
1242	RdYlBu	11	Diverging	6	8	J	171	217	233
1243	RdYlBu	11	Diverging	6	9	L	116	173	209
1244	RdYlBu	11	Diverging	6	10	N	69	117	180
1245	RdYlBu	11	Diverging	6	11	O	49	54	149
1246	RdYlGn	3	Diverging	2	1	E	252	141	89
1247	RdYlGn	3	Diverging	2	2	H	255	255	191
1248	RdYlGn	3	Diverging	2	3	K	145	207	96
1249	RdYlGn	4	Diverging	2.5	1	C	215	25	28
1250	RdYlGn	4	Diverging	2.5	2	F	253	174	97
1251	RdYlGn	4	Diverging	2.5	3	J	166	217	106
1252	RdYlGn	4	Diverging	2.5	4	M	26	150	65
1253	RdYlGn	5	Diverging	3	1	C	215	25	28
1254	RdYlGn	5	Diverging	3	2	F	253	174	97
1255	RdYlGn	5	Diverging	3	3	H	255	255	191
1256	RdYlGn	5	Diverging	3	4	J	166	217	106
1257	RdYlGn	5	Diverging	3	5	M	26	150	65
1258	RdYlGn	6	Diverging	3.5	1	B	215	48	39
1259	RdYlGn	6	Diverging	3.5	2	E	252	141	89
1260	RdYlGn	6	Diverging	3.5	3	G	254	224	139
1261	RdYlGn	6	Diverging	3.5	4	I	217	239	139
1262	RdYlGn	6	Diverging	3.5	5	K	145	207	96
1263	RdYlGn	6	Diverging	3.5	6	N	26	152	80
1264	RdYlGn	7	Diverging	4	1	B	215	48	39
1265	RdYlGn	7	Diverging	4	2	E	252	141	89
1266	RdYlGn	7	Diverging	4	3	G	254	224	139
1267	RdYlGn	7	Diverging	4	4	H	255	255	191
1268	RdYlGn	7	Diverging	4	5	I	217	239	139
1269	RdYlGn	7	Diverging	4	6	K	145	207	96
1270	RdYlGn	7	Diverging	4	7	N	26	152	80
1271	RdYlGn	8	Diverging	4.5	1	B	215	48	39
1272	RdYlGn	8	Diverging	4.5	2	D	244	109	67
1273	RdYlGn	8	Diverging	4.5	3	F	253	174	97
1274	RdYlGn	8	Diverging	4.5	4	G	254	224	139
1275	RdYlGn	8	Diverging	4.5	5	I	217	239	139
1276	RdYlGn	8	Diverging	4.5	6	J	166	217	106
1277	RdYlGn	8	Diverging	4.5	7	L	102	189	99
1278	RdYlGn	8	Diverging	4.5	8	N	26	152	80
1279	RdYlGn	9	Diverging	5	1	B	215	48	39
1280	RdYlGn	9	Diverging	5	2	D	244	109	67
1281	RdYlGn	9	Diverging	5	3	F	253	174	97
1282	RdYlGn	9	Diverging	5	4	G	254	224	139
1283	RdYlGn	9	Diverging	5	5	H	255	255	191
1284	RdYlGn	9	Diverging	5	6	I	217	239	139
1285	RdYlGn	9	Diverging	5	7	J	166	217	106
1286	RdYlGn	9	Diverging	5	8	L	102	189	99
1287	RdYlGn	9	Diverging	5	9	N	26	152	80
1288	RdYlGn	10	Diverging	5.5	1	A	165	0	38
1289	RdYlGn	10	Diverging	5.5	2	B	215	48	39
1290	RdYlGn	10	Diverging	5.5	3	D	244	109	67
1291	RdYlGn	10	Diverging	5.5	4	F	253	174	97
1292	RdYlGn	10	Diverging	5.5	5	G	254	224	139
1293	RdYlGn	10	Diverging	5.5	6	I	217	239	139
1294	RdYlGn	10	Diverging	5.5	7	J	166	217	106
1295	RdYlGn	10	Diverging	5.5	8	L	102	189	99
1296	RdYlGn	10	Diverging	5.5	9	N	26	152	80
1297	RdYlGn	10	Diverging	5.5	10	O	0	104	55
1298	RdYlGn	11	Diverging	6	1	A	165	0	38
1299	RdYlGn	11	Diverging	6	2	B	215	48	39
1300	RdYlGn	11	Diverging	6	3	D	244	109	67
1301	RdYlGn	11	Diverging	6	4	F	253	174	97
1302	RdYlGn	11	Diverging	6	5	G	254	224	139
1303	RdYlGn	11	Diverging	6	6	H	255	255	191
